step, Ka, Kd, Ks, alpha, predict
4040,0.000525917,0.169924,0.529923,0.709923,13.0001
4050,0.000257917,0.169992,0.529991,0.709991,13
4060,9.72473e-05,0.169993,0.529993,0.709993,13
4070,3.8175e-05,0.169978,0.529978,0.709978,13
4080,5.27722e-05,0.169979,0.529979,0.709979,13
4090,0.00353068,0.169371,0.529371,0.709371,13.0006
4100,0.0608727,0.169295,0.529295,0.709297,13.0008
4110,0.0191523,0.17042,0.53042,0.710424,12.9997
4120,0.00722887,0.169742,0.529742,0.709744,13.0003
4130,0.00268866,0.170147,0.530147,0.710147,12.9999
4140,0.00121609,0.170053,0.530053,0.710052,12.9999
4150,0.000419737,0.170018,0.530018,0.710018,13
4160,0.000181032,0.170051,0.530051,0.710051,12.9999
4170,0.000117057,0.169954,0.529954,0.709954,13.0001
4180,0.00715104,0.169286,0.529286,0.709286,13.0007
4190,0.0367802,0.169534,0.529535,0.709535,13.0006
4200,0.0127906,0.169793,0.529794,0.709796,13.0003
4210,0.00403481,0.170074,0.530074,0.710075,13
4220,0.00185616,0.170046,0.530046,0.710046,13
4230,0.000920463,0.1699,0.5299,0.709899,13.0001
4240,0.000530482,0.170122,0.530122,0.710122,12.9999
4250,0.0180141,0.170605,0.530605,0.710605,12.9994
4260,0.0145391,0.170341,0.530342,0.710343,12.9997
4270,0.00662564,0.17007,0.53007,0.710072,13
4280,0.00263849,0.169809,0.529809,0.70981,13.0002
4290,0.00153978,0.170146,0.530146,0.710146,12.9998
4300,0.0185098,0.170404,0.530404,0.710404,12.9996
4310,0.00903103,0.170244,0.530245,0.710246,12.9998
4320,0.00573519,0.169779,0.529779,0.70978,13.0003
4330,0.00310119,0.170233,0.530234,0.710234,12.9998
4340,0.0044802,0.170189,0.530189,0.710189,12.9998
4350,0.0207714,0.170329,0.530329,0.710329,12.9997
4360,0.00858648,0.170314,0.530315,0.710315,12.9997
4370,0.00590056,0.169871,0.529871,0.709872,13.0002
